16 12
0:00:000 r 
0:02.231 n 
0:02.616 c 
0:03.130 c 
0:03.941 r 
0:04.029 c 
0:05.182 c 
0:06.706 c 
0:07.499 n 
0:07.731 c 
0:09.097 r 
0:09.447 o 
0:11.660 c 
0:11.690 n 
0:12.579 c 
0:13.755 r 
0:17.509 n 
0:18.493 c 
0:19.910 c 
0:21.101 r 
0:21.296 c 
0:22.305 c 
0:23.166 c 
0:24.811 c 
0:25.621 n 
0:26.851 r 
0:29.147 n 
0:32.941 r 
0:35.048 c 
0:36.188 c 
0:40.227 n 
0:41.477 r 
0:42.227 c 
0:42.227 c 
0:45.714 n 
0:47.259 r 
0:47.557 o 
0:49.549 r 
0:58.820 c 
0:59.974 c 
1:03.125 n 
1:04.344 r 
1:06.513 n 
1:10.400 r 
1:16.923 n 
1:18.173 r 
1:22.740 n 
1:24.252 r 
1:24.557 o 
1:26.528 r 
1:32.157 n 
1:34.403 r 
1:39.938 n 
1:41.105 r 
1:43.363 n 
1:47.086 r 
1:52.831 e
