16 11
0:00:000 r 
0:02.628 o 
0:03.911 n 
0:04.687 r 
0:08.321 c 
0:09.008 c 
0:12.543 c 
0:13.238 c 
0:35.620 c 
0:39.702 n  
0:42.221 r 
0:43.971 o 
0:44.721 n 
0:45.721 r 
0:47.628 n 
0:50.674 r 
0:53.246 c 
0:53.956 c 
1:16.594 c 
1:20.635 n 
1:22.871 r
1:23.871 o
1:24.871 n
1:25.871 r
1:28.506 n 
1:31.501 r 
2:03.816 e 
