0 5
0:00:000 r 
0:05.224 c 
0:05.978 c 
0:09.098 c 
0:09.635 n 
0:18.514 t 
0:20.791 c
0:20.899 n 
0:30.065 t 
0:31.412 r 
0:32.599 n 
0:34.107 c 
0:36.659 c 
0:37.126 c 
0:38.136 r 
0:38.577 o 
0:40.374 r 
0:48.612 n 
0:57.304 t 
0:59.516 c 
1:00.540 n 
1:08.854 t 
1:09.979 r 
1:11.188 n 
1:16.664 r 
1:17.153 o 
1:18.867 r
1:27.247 n 
1:35.950 t 
1:39.159 n 
1:47.219 t 
1:48.457 r 
1:49.657 n 
1:55.100 r 
1:55.609 o 
1:57.032 e
