0 10
0:00:000 r 
0:01.322 o 
0:01.851 n 
0:03.245 c 
0:05.509 c 
0:10.256 r 
0:11.697 c 
0:12.211 c 
0:12.595 c 
0:21.903 n 
0:23.406 r 
0:25.055 n 
0:25.713 c 
0:26.323 c 
0:27.238 c 
0:27.793 r 
0:29.340 g 
0:32.227 r 
0:33.903 o 
0:35.408 r 
0:36.000 c 
0:36.894 n 
0:46.873 r 
1:02.147 n 
1:04.082 r 
1:05.694 g 
1:08.644 r 
1:10.193 o 
1:11.711 r 
1:13.255 n 
1:23.214 r 
1:38.545 n 
1:40.432 r 
1:42.081 g 
1:45.028 r 
1:46.515 o 
1:48.064 r 
1:50.479 e
